Accession Code (sample#),Lake Name, DEC Code,Date,Z max (m),Sample Type,Sample Z (m),Sample Layer,Secchi (m),Conductivity (umhos),pH air eq,ANC (ueq/L),NH4-N (ug N/L),NH4+ (mg/L),NH4+ (ueq/L),DIC (mg/L),DOC (mg/L),F (mg/L),Cl (mg/L),Cl (ueq/L),NO3-N (mg N/L),NO3- (mg/L),NO3- (ueq/L),SO4-S (mg S/L),SO4-- (mg/L),SO4-- (ueq/L),Total P (ug/L),MRP    (ug P/L),TFP (ug/L),TN (mg/L),Chla (ug/L),Si (mg/l),Dissolved Silica SiO2 (mg/l),Na (mg/L),Na (ueq/L),K (mg/L),K (ueq/L),Fe (mg/L),Mg (mg/L),Mg (ueq/L),Ca (mg/L),Ca (ueq/L),Total Al (ug/L),Total mono Al (ug/L),Nonlabile mono Al (ug/L),Labile mono Ali (ug/L),Hydrologic Type,Watershed,Watershed area (ha),lake volume (m3),WA/SA ratio,surface area (ha),surface area (m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446846,Big Moose,040752,30-Jun-94,22.8,I,6.0,Ye,3.80,21.50,5.10,1.20,25.00,0.03,1.77,3.57,4.30,,0.15,4.20,0.29,1.30,20.83,1.32,3.96,79.20,5.50,3.20,2.40,0.66,0.82,0.25,3.62,0.54,23.22,0.33,8.25,0.20,0.27,22.14,1.19,58.43,228.00,180.00,53.00,127.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446867,Big Moose,040752,25-Jul-94,23.0,I,6.0,Ye,5.20,21.00,5.36,-1.30,25.00,0.03,1.77,0.44,2.83,,0.43,12.04,0.27,1.21,19.42,1.58,4.74,94.80,4.80,1.60,0.50,0.57,0.94,1.44,3.08,0.49,21.07,0.32,8.00,0.14,0.28,22.71,1.58,77.48,203.00,99.00,36.00,63.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446984,Big Moose,040752,30-Aug-94,22.4,I,9.0,Ye,6.10,22.00,5.31,12.00,50.00,0.06,3.54,0.41,3.64,,0.42,11.76,0.24,1.06,16.94,1.56,4.68,93.60,1.50,1.60,3.80,0.43,1.88,1.55,3.32,0.53,22.79,0.30,7.50,0.05,0.29,23.53,1.41,69.33,162.00,110.00,61.00,49.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546852,Big Moose,040752,20-Jun-95,17.5,I,4.0,Ye,5.00,19.00,5.50,5.70,90.00,0.12,6.37,0.52,2.66,,0.66,18.42,0.37,1.63,26.15,1.43,4.29,85.86,9.70,2.10,7.20,0.82,,1.63,3.49,0.66,28.38,0.41,10.25,0.05,0.31,25.42,1.14,55.70,195.00,110.00,34.00,76.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546871,Big Moose,040752,7-Aug-95,22.0,I,7.0,Ye,5.00,22.00,5.51,4.95,60.00,0.08,4.24,0.95,3.58,,0.73,20.44,0.36,1.59,25.51,1.42,4.26,85.20,1.20,2.49,7.70,0.70,1.24,1.81,3.87,0.65,27.95,0.33,8.25,0.17,0.32,26.24,1.46,71.53,156.00,56.00,26.00,30.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546971,Big Moose,040752,12-Sep-95,22.8,I,10.0,Ye,5.80,18.00,5.60,-13.40,12.00,0.02,0.85,1.97,3.38,,0.48,13.30,0.28,1.26,20.13,1.45,4.36,87.26,1.30,1.79,4.12,0.42,0.48,1.30,2.78,0.67,28.81,0.36,9.00,0.13,0.31,25.42,1.29,63.45,119.00,56.00,21.00,35.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646742,Big Moose,040752,26-Jun-96,18.6,I,3.0,Ye,3.30,18.30,4.94,-10.00,5.00,0.01,0.35,0.60,5.63,,0.27,7.56,0.18,0.80,12.76,1.21,3.63,72.60,8.43,1.81,0.50,0.46,1.28,1.25,2.68,0.51,21.93,0.31,7.75,0.16,0.25,20.50,0.91,44.46,328.00,210.00,59.00,151.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646828,Big Moose,040752,23-Jul-96,22.0,I,6.0,Ye,3.20,17.10,5.23,-1.46,26.00,0.03,1.84,0.93,4.63,,0.26,7.28,0.22,0.97,15.59,1.51,4.53,90.60,5.13,0.50,0.50,0.59,0.45,,,0.51,21.93,0.28,7.00,0.20,0.27,22.14,1.14,55.74,312.00,162.00,81.00,81.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646900,Big Moose,040752,20-Aug-96,21.8,I,5.0,Ye,4.50,17.50,5.39,8.54,5.00,0.01,0.35,0.72,7.15,,0.47,13.08,0.22,0.98,15.66,1.66,4.97,99.42,7.71,0.50,0.50,0.62,0.43,1.24,2.65,0.55,23.65,0.28,7.00,0.12,0.28,22.96,1.30,63.74,317.00,220.00,86.00,134.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9746863,Big Moose,040752,9-Jul-97,22.0,I,5.0,Ye,8.50,19.50,5.39,0.92,10.00,0.01,0.71,0.25,5.00,0.13,0.54,15.12,0.32,1.42,22.68,1.23,3.69,73.80,5.00,1.07,0.50,0.51,1.23,1.52,3.25,0.55,23.65,0.33,8.25,0.13,0.20,16.40,1.48,72.31,169.00,55.00,27.00,28.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
