_EF_NAICS_EZ.NAICS_CODE,V_EF_NAICS_EZ.REGISTRY_ID,V_EF_NAICS_EZ.STATE_CODE
221112,110000312180,RI
32551,110042010203,RI
22131,110000574361,RI
22132,110000546516,RI
562219,110000735740,RI
422710,110000312894,RI
332312,110022434070,RI
54171,110022434098,RI
61131,110012194268,RI
336612,110029952102,RI
221112,110001663450,RI
811111,110004910883,RI
4471,110007825256,RI
311812,110004911016,RI
49311,110002087321,RI
45299,110004911524,RI
92411,110004911926,RI
339932,110001662692,RI
2211,110004913176,RI
333291,110004913238,RI
333512,110004913826,RI
212321,110004914380,RI
811111,110004914415,RI
811112,110004914460,RI
811111,110004914656,RI
332813,110004914861,RI
4471,110004915593,RI
62211,110001663398,RI
71393,110004916093,RI
81232,110004916128,RI
811111,110004916137,RI
44111,110006434475,RI
488999,110004917029,RI
324199,110004917546,RI
71399,110004917644,RI
621112,110004917840,RI
61111,110004917911,RI
4471,110004918643,RI
92119,110007826709,RI
453998,110004918705,RI
336211,110004918876,RI
811111,110009441229,RI
71393,110004919198,RI
44112,110004919269,RI
4471,110004920060,RI
44112,110007826898,RI
339914,110009441354,RI
811121,110004920845,RI
485999,110012296327,RI
485999,110043481915,RI
811121,110004921149,RI
811111,110004921158,RI
812331,110001663815,RI
811121,110004921201,RI
811121,110004921210,RI
212321,110001664208,RI
32732,110009441577,RI
62121,110004921808,RI
322213,110004922120,RI
62121,110004922273,RI
621498,110009441737,RI
62121,110004922335,RI
62121,110004922344,RI
621511,110004923094,RI
4471,110007827334,RI
333515,110000895087,RI
562998,110000760757,RI
811111,110004924146,RI
313221,110001662790,RI
811121,110004924716,RI
71399,110004925047,RI
48521,110004925083,RI
81232,110004925136,RI
811121,110004925181,RI
62121,110004925207,RI
81232,110004925635,RI
334419,110009442184,RI
62121,110004925760,RI
332721,110009438750,RI
339913,110004904006,RI
62121,110004926377,RI
61131,110004926420,RI
62211,110004926607,RI
811121,110004926634,RI
811111,110004926938,RI
333514,110004927170,RI
4471,110004927438,RI
811111,110004927571,RI
62121,110004927599,RI
