"Antimony", "0.0056", "mg/l", 
"Arsenic", "0.00018", "mg/l", 
"Asbestos", "7000000", "fibers/l", 
"Copper", "1.3", "mg/l", 
"Cyanide", "0.14", "mg/l", 
"Mercury", "0.00014", "mg/l", 
"Nickel", "0.61", "mg/l", 
"Selenium", "0.17", "mg/l", 
"Thallium", "0.00024", "mg/l", 
"Zinc", "7.4", "mg/l", 
"Acrolein", "0.19", "mg/l", 
"Acrylonitrile", "0.00051", "mg/l", 
"Benzene", "0.022", "mg/l", 
"Bromoform", "0.043", "mg/l", 
"Carbon Tetrachloride", "0.0023", "mg/l", 
"Chlorobenzene 108907", "0.13", "mg/l", 
"Chlorodibromomethane", "0.004", "mg/l", 
"Chloroform", "0.057", "mg/l", 
"Dichlorobromomethane", "0.0055", "mg/l", 
"1,2-Dichloroethane", "0.0038", "mg/l", 
"1,1-Dichloroethylene", "0.33", "mg/l", 
"1,2-Dichloropropane", "0.005", "mg/l", 
"1,3-Dichloropropene", "0.00034", "mg/l", 
"Ethylbenzene", "0.53", "mg/l", 
"Methyl Bromide", "0.047", "mg/l", 
"Methylene Chloride", "0.046", "mg/l", 
"1,1,2,2-Tetrachloroethane", "0.0017", "mg/l", 
"Tetrachloroethylene", "0.0069", "mg/l", 
"Toluene", "1.3", "mg/l", 
"1,2-Trans-Dichloroethylene", "0.14", "mg/l", 
"1,1,2-Trichloroethane", "0.0059", "mg/l", 
"Trichloroethylene", "0.025", "mg/l", 
"Vinyl Chloride", "0.000025", "mg/l", 
"2-Chlorophenol", "0.081", "mg/l", 
"2,4-Dichlorophenol", "0.077", "mg/l", 
"2,4-Dimethylphenol", "0.38", "mg/l", 
"2-Methyl-4,6-Dinitrophenol", "0.013", "mg/l", 
"2,4-Dinitrophenol", "0.069", "mg/l", 
"Pentachlorophenol", "0.0027", "mg/l", 
"Phenol", "21", "mg/l", 
"2,4,6-Trichlorophenol", "0.014", "mg/l", 
"Acenaphthene", "0.67", "mg/l", 
"Anthracene", "8.3", "mg/l", 
"Benzidine", "0.00000086", "mg/l", 
"Polycyclic Aromatic Hydrocarbons", "0.000038", "mg/l", 
"Bis(2-Chloroethyl)ether", "0.0003", "mg/l", 
"Bis(2-Chloroisopropyl)ether", "1.4", "mg/l", 
"Bis(2-Ethylhexyl)phthalate", "0.012", "mg/l", 
"Butyl Benzyl Phthalate", "1.5", "mg/l", 
"2-Chloronaphthalene", "1", "mg/l", 
"1,2-Dichlorobenzene", "0.42", "mg/l", 
"1,3-Dichlorobenzene", "0.32", "mg/l", 
"1,4-Dichlorobenzene", "0.063", "mg/l", 
"3,3’-Dichlorobenzidene", "0.00021", "mg/l", 
"Diethyl Phthalate", "17", "mg/l", 
"Dimethyl Phthalate", "270", "mg/l", 
"Di-N-Butyl Phthalate", "2", "mg/l", 
"2,4-Dinitrotoluene", "0.0011", "mg/l", 
"1,2-Diphenylhydrazine", "0.00036", "mg/l", 
"Fluoranthene", "0.13", "mg/l", 
"Fluorene", "1.1", "mg/l", 
"Hexachlorobenzene", "0.0000028", "mg/l", 
"Hexachlorobutadiene", "0.0044", "mg/l", 
"Hexachlorocyclopentadiene", "0.04", "mg/l", 
"Hexachloroethane", "0.014", "mg/l", 
"Isophorone", "0.35", "mg/l", 
"Nitrobenzene", "0.017", "mg/l", 
"N-Nitrosodimethylamine", "0.0000069", "mg/l", 
"N-Nitrosodi-N-Propylamine", "0.00005", "mg/l", 
"N-Nitrosodiphenylamine", "0.033", "mg/l", 
"Pyrene", "0.83", "mg/l", 
"1,2,4-Trichlorobenzene", "0.035", "mg/l", 
"Aldrin", "0.00000049", "mg/l", 
"Alpha Bhc", "0.000026", "mg/l", 
"Beta Bhc", "0.000091", "mg/l", 
"Gamma Bhc (Lindane)", "0.00098", "mg/l", 
"Chlordane", "0.000008", "mg/l", 
"4,4-Ddt", "0.0000022", "mg/l", 
"4,4-Dde", "0.0000022", "mg/l", 
"4,4-Ddd", "0.0000031", "mg/l", 
"Dieldrin", "0.00000052", "mg/l", 
"Endosulfan Alpha", "0.062", "mg/l", 
"Endosulfan, Beta", "0.062", "mg/l", 
"Endosulfan (Sulfate)", "0.062", "mg/l", 
"Endrin", "0.000059", "mg/l", 
"Endrin Aldehyde", "0.00029", "mg/l", 
"Heptachlor", "0.00000079", "mg/l", 
"Heptachlor Epoxide", "0.00000039", "mg/l", 
"Polychlorinated Biphenyls (Pcbs)", "0.00000064", "mg/l", 
"2,3,7,8-Tcdd (Dioxin)", "0.00000000005", "mg/l", 
"Toxaphene", "0.0000028", "mg/l", 
"Iron", "0.3", "mg/l", 
"Total Pcbs", "0.00000064", "mg/l", 
"Indeno(1,2,3-Cd)pyrene", "0.000038", "mg/l", 
"Dibenzo(Ah)anthracene", "0.000038", "mg/l", 
"Benzo(A)anthracene", "0.000038", "mg/l", 
"Benzo(A)pyrene", "0.000038", "mg/l", 
"Benzo(B)fluoranthene", "0.000038", "mg/l", 
"Benzo(K)fluoranthene", "0.000038", "mg/l", 
"Chrysene", "0.000038", "mg/l", 
