OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Total,0.60,mg/l,Historical,,Actual,,,,,,,71850,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Total dissolved solids,Dissolved,0.04,tons/ac ft,Historical,,Actual,,,,,,calculated,70303,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Total dissolved solids,Dissolved,0.15,tons/day,Historical,,Actual,,,,,,,70302,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Total dissolved solids,Dissolved,26,mg/l,Historical,,Actual,,,180 deg C,,,,70300,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Iron,Recoverable,170,ug/l,Historical,,Actual,,,,,,,01045,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,4.8,mg/l,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.0,std units,Historical,,Actual,,,,,,field,00400,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Hydrogen ion,Total,0.00001,mg/l,Historical,,Calculated,,,,,,calculated,00191,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Appendix",,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Specific conductance,Total,39,uS/cm @25C,Historical,,Actual,,,25 deg C,,,,00095,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Color,Dissolved,28,PCU,Historical,,Actual,,,,,,,00080,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Stream flow, mean. daily",,2.1,cfs,Historical,Mean,Actual,,1 Day,,,,,00060,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96300002,Sample-Routine,Water,Surface Water,1963-08-26,15:15:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,15.5,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96500053,Sample-Routine,Water,Surface Water,1965-07-27,14:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,19.0,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96500054,Sample-Routine,Water,Surface Water,1965-08-03,10:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,16.5,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96500055,Sample-Routine,Water,Surface Water,1965-08-31,08:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,10.0,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600254,Sample-Routine,Water,Surface Water,1965-10-13,13:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,9.5,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600255,Sample-Routine,Water,Surface Water,1965-10-22,09:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,14.0,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600256,Sample-Routine,Water,Surface Water,1965-10-26,09:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,7.0,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600257,Sample-Routine,Water,Surface Water,1965-11-09,13:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,8.5,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600258,Sample-Routine,Water,Surface Water,1965-12-10,11:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,1.0,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600259,Sample-Routine,Water,Surface Water,1966-01-18,16:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,0.0,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600260,Sample-Routine,Water,Surface Water,1966-02-28,17:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,1.5,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600261,Sample-Routine,Water,Surface Water,1966-04-01,13:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,4.0,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600262,Sample-Routine,Water,Surface Water,1966-05-06,11:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,9.5,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600263,Sample-Routine,Water,Surface Water,1966-06-01,12:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,13.5,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600264,Sample-Routine,Water,Surface Water,1966-08-18,11:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,18.0,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96600265,Sample-Routine,Water,Surface Water,1966-09-04,11:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,9.0,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96700574,Sample-Routine,Water,Surface Water,1966-11-03,18:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,11.5,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96700575,Sample-Routine,Water,Surface Water,1966-11-07,14:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,11.5,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
USGS-MA,USGS Massachusetts Water Science Center,sun4dmamrl.01.96700576,Sample-Routine,Water,Surface Water,1966-12-08,12:00:00,EST,,,,,,,,,,,USGS,U.S. Geological Survey-Water Resources Discipline,USGS-01115630,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,4.5,deg C,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,
