"Contaminants", "HUMAN HEALTH CRITERIA", "Unit", 
"ANTIMONY", "5.6", "ug/L", 
"ARSENIC", "0.18", "ug/L", 
"ASBESTOS", "7x10+6", "fibers/l", 
"COPPER", "1300", "ug/L", 
"CYANIDE", "140", "ug/L", 
"MERCURY", "0.14", "ug/L", 
"NICKEL", "610", "ug/L", 
"SELENIUM", "170", "ug/L", 
"THALLIUM", "0.24", "ug/L", 
"ZINC", "7400", "ug/L", 
"ACROLEIN", "190", "ug/L", 
"ACRYLONITRILE", "0.51", "ug/L", 
"BENZENE", "22", "ug/L", 
"BROMOFORM", "43", "ug/L", 
"CARBON TETRACHLORIDE", "2.3", "ug/L", 
"CHLOROBENZENE 108907", "130", "ug/L", 
"CHLORODIBROMOMETHANE", "4.0", "ug/L", 
"CHLOROFORM", "57", "ug/L", 
"DICHLOROBROMOMETHANE", "5.5", "ug/L", 
"1,2-DICHLOROETHANE", "3.8", "ug/L", 
"1,1-DICHLOROETHYLENE", "330", "ug/L", 
"1,2-DICHLOROPROPANE", "5.0", "ug/L", 
"1,3-DICHLOROPROPENE", "0.34", "ug/L", 
"ETHYLBENZENE", "530", "ug/L", 
"METHYL BROMIDE", "47", "ug/L", 
"METHYLENE CHLORIDE", "46", "ug/L", 
"1,1,2,2-TETRACHLOROETHANE", "1.7", "ug/L", 
"TETRACHLOROETHYLENE", "6.9", "ug/L", 
"TOLUENE", "1300", "ug/L", 
"1,2-TRANS-DICHLOROETHYLENE", "140", "ug/L", 
"1,1,2-TRICHLOROETHANE", "5.9", "ug/L", 
"TRICHLOROETHYLENE", "25", "ug/L", 
"VINYL CHLORIDE", "0.025", "ug/L", 
"2-CHLOROPHENOL", "81", "ug/L", 
"2,4-DICHLOROPHENOL", "77", "ug/L", 
"2,4-DIMETHYLPHENOL", "380", "ug/L", 
"2-METHYL-4,6-DINITROPHENOL", "13", "ug/L", 
"2,4-DINITROPHENOL", "69", "ug/L", 
"PENTACHLOROPHENOL", "2.7", "ug/L", 
"PHENOL", "21", "mg/l", 
"2,4,6-TRICHLOROPHENOL", "14", "ug/L", 
"ACENAPHTHENE", "670", "ug/L", 
"ANTHRACENE", "8300", "ug/L", 
"BENZIDINE", "0.86", "ng/l", 
"POLYCYCLIC AROMATIC HYDROCARBONS", "0.038", "ug/L", 
"BIS(2-CHLOROETHYL)ETHER", "0.30", "ug/L", 
"BIS(2-CHLOROISOPROPYL)ETHER", "1400", "ug/L", 
"BIS(2-ETHYLHEXYL)PHTHALATE", "12", "ug/L", 
"BUTYL BENZYL PHTHALATE", "1500", "ug/L", 
"2-CHLORONAPHTHALENE", "1000", "ug/L", 
"1,2-DICHLOROBENZENE", "420", "ug/L", 
"1,3-DICHLOROBENZENE", "320", "ug/L", 
"1,4-DICHLOROBENZENE", "63", "ug/L", 
"3,3’-DICHLOROBENZIDENE", "0.21", "ug/L", 
"DIETHYL PHTHALATE", "17", "mg/l", 
"DIMETHYL PHTHALATE", "270", "mg/l", 
"DI-n-BUTYL PHTHALATE", "2000", "ug/L", 
"2,4-DINITROTOLUENE", "1.1", "ug/L", 
"1,2-DIPHENYLHYDRAZINE", "0.36", "ug/L", 
"FLUORANTHENE", "130", "ug/L", 
"FLUORENE", "1100", "ug/L", 
"HEXACHLOROBENZENE", "2.8", "ng/l", 
"HEXACHLOROBUTADIENE", "4.4", "ug/L", 
"HEXACHLOROCYCLOPENTADIENE", "40", "ug/L", 
"HEXACHLOROETHANE", "14", "ug/L", 
"ISOPHORONE", "350", "ug/L", 
"NITROBENZENE", "17", "ug/L", 
"N-NITROSODIMETHYLAMINE", "6.9", "ng/l", 
"N-NITROSODI-N-PROPYLAMINE", "0.05", "ug/L", 
"N-NITROSODIPHENYLAMINE", "33", "ug/L", 
"PYRENE", "830", "ug/L", 
"1,2,4-TRICHLOROBENZENE", "35", "ug/L", 
"ALDRIN", "0.49", "ng/l", 
"alpha BHC", "26", "ng/l", 
"beta BHC", "91", "ng/l", 
"gamma BHC (Lindane)", "0.98", "ug/L", 
"CHLORDANE", "8.0", "ng/l", 
"4,4-DDT", "2.2", "ng/l", 
"4,4-DDE", "2.2", "ng/l", 
"4,4-DDD", "3.1", "ng/l", 
"DIELDRIN", "0.52", "ng/l", 
"ENDOSULFAN alpha", "62", "ug/L", 
"ENDOSULFAN, beta", "62", "ug/L", 
"ENDOSULFAN (sulfate)", "62", "ug/L", 
"ENDRIN", "0.059", "ug/L", 
"ENDRIN ALDEHYDE", "0.29", "ug/L", 
"HEPTACHLOR", "0.79", "ng/l", 
"HEPTACHLOR EPOXIDE", "0.39", "ng/l", 
"POLYCHLORINATED BIPHENYLS (PCBs)", "0.64", "ng/l", 
"2,3,7,8-TCDD (DIOXIN)", "5 x 10 -8", "ug/L", 
"TOXAPHENE", "2.8", "ng/l", 
"IRON", "300", "ug/L", 
"Total PCBs", "0.64", "ng/l", 
"indeno(1,2,3-cd)pyrene", "0.038", "ug/L", 
"dibenzo(ah)anthracene", "0.038", "ug/L", 
"benzo(a)anthracene", "0.038", "ug/L", 
"benzo(a)pyrene", "0.038", "ug/L", 
"benzo(b)fluoranthene", "0.038", "ug/L", 
"benzo(k)fluoranthene", "0.038", "ug/L", 
"chrysene", "0.038", "ug/L", 
