PEREXNO|FCLTUIN|FCLNAME|FCLTYAD|FCLTCIT|FCLCNTY|FCLSTCD|FCLZIPC|FCLGLAT|FCLGLON|S303D|
RIG250000||||||||0.0|0.0||
RIG250001|110004908529|INTERNATIONAL MFG. SVCS., INC.|50 SCHOOLHOUSE LANE|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIG250002|110004936570|NARRAGANSETT IMAGING, LLC|51 INDUSTRIAL DRIVE|NORTH SMITHFIELD|RI007|RI|02896|41.993881|-71.574432||
RIG250003|110016692337|A.T. SIRAVO AND COMPANY|481 DYER AVENUE|CRANSTON|RI007|RI|02920|41.800284|-71.458505|Y|
RIG250004|110000312705|ORIGINAL BRADFORD SOAP WORKS|200 PROVIDENCE STREET|WEST WARWICK|RI003|RI|02893|41.715217|-71.5100889|Y|
RIG250005|110016692355|ANN & HOPE, INC.|ONE ANN & HOPE WAY|CUMBERLAND|RI007|RI|02864|0.0|0.0||
RIG250006|110000313090|INDUPLATE, LLC|ONE GREYSTONE DRIVE|NORTH PROVIDENCE|RI007|RI|02911|41.8662149|-71.490776|Y|
RIG250007|110000895096|LEVITON MANUFACTURING CO., INC|745 JEFFERSON BLVD.|WARWICK|RI003|RI|02886|41.7279655|-71.4433866|Y|
RIG250008|110000312527|A.T. CROSS COMPANY|ONE ALBION ROAD|LINCOLN|RI007|RI|02865|41.9370414|-71.4807201||
RIG250009|110004909813|GREENE PLASTICS CORPORATION|105 CONONCHET ROAD|HOPE VALLEY|RI009|RI|02832|41.5075996|-71.7161784||
RIG250010|110016692408|BERCEN, INC.|1381 CRANSTON STREET|CRANSTON|RI007|RI|02920|41.791253|-71.45796||
RIG250011|110000581255|STANLEY FASTENING SYSTEMS, LP|BRIGGS DRIVE, ROUTE 2|EAST GREENWICH|RI003|RI|02818|41.6343152|-71.493772||
RIG250012|110035831222|CNC INTERNATIONAL, LP|20 PRIVILEGE STREET|WOONSOCKET|RI007|RI|02895|42.015448|-71.510878||
