
"Acrylamide","0"," ",
"Alachlor","0.002"," ",
"Antimony","0.006"," ",
"Arsenic","0.010"," ",
"Asbestos","7","million fibers/liter",
"Atrazine","0.003"," ",
"Barium","2"," ",
"Benzene","0.005"," ",
"Benzo(a)pyrene","0.0002"," ",
"Beryllium","0.004"," ",
"Bromate","0.010"," ",
"Cadmium","0.005"," ",
"Carbofuran","0.04"," ",
"Carbon tetrachloride","0.005"," ",
"Chloramines (as Cl2)","4"," ",
"Chlordane","0.002"," ",
"Chlorine (as Cl2)","4"," ",
"Chlorine dioxide (as ClO2)","0.8"," ",
"Chlorite","1.0"," ",
"Chlorobenzene","0.1"," ",
"Chromium (total)","0.1"," ",
"Copper","1.3"," ",
"Cyanide (as free cyanide)","0.2"," ",
"2,4-D (2,4-Dichlorophenoxyacetic acid)","0.07"," ",
"Dalapon","0.2"," ",
"1,2-Dibromo-3-chloropropane (DBCP)","0.0002"," ",
"1,2-Dichlorobenzene (o-DCB)","0.6"," ",
"1,4-Dichlorobenzene (p-DCB)","0.005"," ",
"1,2-Dichloroethane","0.005"," ",
"1,1-Dichloroethylene","0.007"," ",
"1,2-Dichloroethylene","0.07"," ",
"1,2-Dichloroethylene","0.1"," ",
"Dichloromethane","0.005"," ",
"1,2-Dichloropropane","0.005"," ",
"Di(2-ethylhexyl)-adipate","0.4"," ",
"Di(2-ethylhexyl)-phthalate","0.006"," ",
"Dinoseb","0.007"," ",
"Diquat","0.02"," ",
"Endothall","0.1"," ",
"Endrin","0.002"," ",
"Epichlorohydrin","0"," ",
"Ethylbenzene","0.7"," ",
"Ethylene dibromide","0.00002"," ",
"Fluoride","4.0"," ",
"Glyphosate","0.7"," ",
"Haloacetic acids","0.060"," ",
"Heptachlor","0.0004"," ",
"Heptachlor epoxide","0.0002"," ",
"Hexachlorobenzene","0.001"," ",
"Hexachlorocyclopentadiene","0.05"," ",
"Lead","0.015"," ",
"Lindane","0.0002"," ",
"Mercury","0.002"," ",
"Methoxychlor","0.04"," ",
"Nitrate (As N)","10"," ",
"Nitrate/Nitrite (total)","10"," ",
"Nitrite (As N)","1"," ",
"Oxamyl (Vydate)","0.2"," ",
"PCBs (Polychlorinated biphenyls)","0.0005"," ",
"Pentachlorophenol","0.001"," ",
"Perchlorate","0.002"," ",
"Picloram","0.5"," ",
"Selenium","0.05"," ",
"Simazine","0.004"," ",
"Styrene","0.1"," ",
"2,3,7,8-TCDD (Dioxin)","0.00000003"," ",
"Tetrachloroethylene","0.005"," ",
"Thallium","0.002"," ",
"Toluene","1"," ",
"Total trihalomethanes","0.080"," ",
"Chloroform","N/A "," ",
"Chlorodibromomethane","N/A"," ",
"Bromodichloromethane","N/A"," ",
"Bromoform","N/A"," ",
"Toxaphene","0.003"," ",
"2,4,5-TP (Silvex)","0.05"," ",
"1,2,4-Trichlorobenzene","0.07"," ",
"1,1,1-Trichloroethane","0.2"," ",
"1,1,2-Trichloroethane","0.005"," ",
"Trichloroethylene","0.005"," ",
"Vinyl chloride","0.002"," ",
"Xylenes (total)","10"," ",
"Beta particle and photon radioactivity","4","millirem/yr","MMCL"
"Gross alpha radiation","15","pCi/L","MMCL"
"Radium (226 + 228)","5","pCi/L","MMCL"
"Radon-222","10000","pCi/L","ORSG"
"Uranium","0.030"," ","MMCL"
"Cryptosporidium","0"," ",
"Giardia lamblia","0"," ",
"Heterotrophic plate count","0"," ",
"Legionella","0"," ",
"Total coliform bacteria","22.05"," ",
"Turbidity","1","NTU",
"Viruses (enteric)","0"," ",
"Acetone","6.3"," ","ORSG"
"Aldicarb","0.003"," ","ORSG"
"Aldicarb sulfone","0.002"," ","ORSG"
"Aldicarb sulfoxide","0.004"," ","ORSG"
"Bromomethane","0.01"," ","ORSG"
"Chloroform","0.07"," ","ORSG"
"Dichlorodifluoromethane","1.4"," ","ORSG"
"1,1-Dichloroethane","0.07"," ","ORSG"
"1,3-Dichloropropene","0.0004"," ","ORSG"
"1,4-Dioxane","0.003"," ","ORSG"
"Ethylene glycol","14"," ","ORSG"
"Methyl ethyl ketone","4.0"," ","ORSG"
"Methyl isobutyl ketone","0.35"," ","ORSG"
"Methyl tertiary butyl ether","0.07"," ","ORSG"
"Metolachlor","0.1"," ","ORSG"
"Naphthalene","0.140"," ","ORSG"
"Nickel","0.1"," ","ORSG"
"n-Nitrosodimethylamine (NDMA)","0.00001"," ","ORSG"
"Petroleum hydrocarbons","0.2"," ","ORSG"
"C5-C8","0.3"," ","ORSG"
"C9-C12 ","0.7"," ","ORSG"
"C9-C18","0.7"," ","ORSG"
"C19-C36","14.0"," ","ORSG"
"C9-C10","0.2"," ","ORSG"
"C11-C22","0.2"," ","ORSG"
"Sodium","20"," ","ORSG"
"Tertiary-Amyl Methyl Ether","0.09"," ","ORSG"
"Tertiary Butyl Alcohol","0.12"," ","ORSG"
"Tetrahydrofuran","1.3"," ","ORSG"
"1,1,2-Trichloro-1,2,2-trifluoroethane","210"," ","ORSG"
"Aluminum","0.05 to 0.2"," ","SMCL"
"Chloride","250"," ","SMCL"
"Color",15,"Color Units","SMCL"
"Copper","1"," ","SMCL"
"Fluoride","2"," ","SMCL"
"Foaming agents","0.5"," ","SMCL"
"Iron","0.3"," ","SMCL"
"Manganese","0.05"," ","SMCL"
"Methyl tertiary butyl ether","0.020-0.040"," ","SMCL"
"Odor",3,"threshold odor numbers","SMCL"
"pH","6.5 - 8.5"," ","SMCL"
"Silver","0.10"," ","SMCL"
"Sulfate","250 "," ","SMCL"
"Total dissolved solids (TDS)","500"," ","SMCL"
"Zinc","5"," ","SMCL"
